Code NC ,Désignation des marchandises ,Taux du droit conventionnel (%) ,Unité supplémentaire 
1 ,2 ,3 ,4 
8543 70 05 ,"Lecteurs électroniques portatifs à piles servant à l'enregistrement et à la reproduction de textes, d'images fixes et de fichiers audio ",exemption ,
8543 70 06 ,Appareils de traitement de signaux numériques pouvant être connectés à un réseau filaire ou sans fil pour le mixage du son ,exemption ,
8543 70 07 ,Dispositifs éducatifs électroniques interactifs portatifs principalement conçus pour les enfants ,exemption ,
8543 70 08 ,Machines de nettoyage au plasma qui éliminent les contaminants organiques des échantillons et supports d'échantillons pour la microscopie électronique ,exemption ,
8543 70 09 ,"Dispositifs de commande tactile (dénommés écrans tactiles) sans capacité d'affichage, destinés à être incorporés dans des appareils d'affichage et fonctionnant en détectant et en localisant la pression appliquée sur la surface d'affichage ",exemption ,
8543 70 10 ,Machines électriques avec fonctions de traduction ou de dictionnaire ,exemption ,
8543 70 30 ,Amplificateurs d'antennes ,"3,7 ",
8543 70 50 ,Bancs et ciels solaires et appareils similaires pour le bronzage ,"3,7 ",p/st 
8543 70 60 ,Électrificateurs de clôtures ,"3,7 ",
8543 70 90 ,autres ,"3,7 ",
8543 90 00 ,Parties ,exemption ,
8544 ,"Fils, câbles (y compris les câbles coaxiaux) et autres conducteurs isolés pour l'électricité (même laqués ou oxydés anodiquement), munis ou non de pièces de connexion; câbles de fibres optiques, constitués de fibres gainées individuellement, même comportant des conducteurs électriques ou munis de pièces de connexion: ",,
,Fils pour bobinages: ,,
854411 ,en cuivre: ,,
8544 11 10 ,émaillés ou laqués ,"3,7 ",
8544 11 90 ,autres ,"3,7 ",
8544 19 00 ,autres ,"3,7 ",
8544 20 00 ,Câbles coaxiaux et autres conducteurs électriques coaxiaux ,"3,7 ",
8544 30 00 ,Jeux de fils pour bougies d'allumage et autres jeux de fils des types utilisés dans les moyens de transport ,"3,7 ",
,"autres conducteurs électriques, pour tensions n'excédant pas 1 000 V: ",,
8544 42 ,munis de pièces de connexion: ,,
8544 42 10 ,des types utilisés pour les télécommunications ,exemption ,
8544 42 90 ,autres ,"3,3 ",
8544 49 ,autres: ,,
8544 49 20 ,"des types utilisés pour les télécommunications, pour tensions n'excédant pas 80 V ",exemption ,
,autres: ,,
8544 49 91 ,"Fils et câbles, d'un diamètre de brin excédant 0,51 mm autres: ","3,7 ",

