Code NC ,Désignation des marchandises ,Taux du droit conventionnel (%) ,Unité supplémentaire 
1 ,2 ,3 ,4 
,autres: ,,
1504 10 91 ,de flétans ,exemption ,
1504 10 99 ,autres ,"3,8 (1) ",
1504 20 ,"Graisses et huiles de poissons et leurs fractions, autres que les huiles de foies: ",,
1504 20 10 ,Fractions solides ,"10,9 ",
1504 20 90 ,autres ,exemption ,
1504 30 ,Graisses et huiles de mammifères marins et leurs fractions: ,,
1504 30 10 ,Fractions solides ,"10,9 ",
1504 30 90 ,autres ,exemption ,
1505 00 ,"Graisse de suint et substances grasses dérivées, y compris la lanoline: ",,
1505 00 10 ,Graisse de suint brute (suintine) ,"3,2 ",
1505 00 90 ,autres ,exemption ,
1506 00 00 ,"Autres graisses et huiles animales et leurs fractions, même raffinées, mais non chimiquement modifiées ",exemption ,
1507 ,"Huile de soja et ses fractions, même raffinées, mais non chimiquement modifiées: ",,
1507 10 ,"Huile brute, même dégommée: ",,
1507 10 10 ,destinée à des usages techniques ou industriels autres que la fabrication de produits pour l'alimentation humaine (2) ,"3,2 ",
1507 10 90 ,autre ,"6,4 ",
1507 90 ,autres: ,,
1507 90 10 ,destinées à des usages techniques ou industriels autres que la fabrication de produits pour l'alimentation humaine (2) ,"5,1 ",
1507 90 90 ,autres ,"9,6 ",
1508 ,"Huile d'arachide et ses fractions, même raffinées, mais non chimiquement modifiées: ",,
1508 10 ,Huile brute: ,,
1508 10 10 ,destinée à des usages techniques ou industriels autres que la fabrication de produits pour l'alimentation humaine (2) ,exemption ,
1508 10 90 ,autre ,"6,4 ",
1508 90 ,autres: ,,
1508 90 10 ,destinées à des usages techniques ou industriels autres que la fabrication de produits pour l'alimentation humaine (2) ,"5,1 ",
1508 90 90 ,autres ,"9,6 ",
1509 ,"Huile d'olive et ses fractions, même raffinées, mais non chimiquement modifiées: ",,
1509 20 00 ,Huile d'olive vierge extra (3) ,"124,5 €/100 kg/net ",

