Code NC ,Désignation des marchandises ,Taux du droit conventionnel (%) ,Unité supplémentaire 
1 ,2 ,3 ,4 
9017 90 00 ,Parties et accessoires ,"2,7 ",
9018 ,"Instruments et appareils pour la médecine, la chirurgie, l'art dentaire ou l'art vétérinaire, y compris les appareils de scintigraphie et autres appareils électromédicaux ainsi que les appareils pour tests visuels: ",,
,Appareils d'électrodiagnostic (y compris les appareils d'exploration fonctionnelle ou de surveillance de paramètres physiologiques): ,,
9018 11 00 ,-- Électrocardiographes ,exemption ,
9018 12 00 ,Appareils de diagnostic par balayage ultrasonique (scanners) ,exemption ,
9018 13 00 ,Appareils de diagnostic par visualisation à résonance magnétique ,exemption ,
9018 14 00 ,Appareils de scintigraphie ,exemption ,
9018 19 ,autres: ,,
9018 19 10 ,Appareils de surveillance simultanée de deux ou plusieurs paramètres physiologiques ,exemption ,
9018 19 90 ,autres ,exemption ,
9018 20 00 ,Appareils à rayons ultraviolets ou infrarouges ,exemption ,
,"Seringues, aiguilles, cathéters, canules et instruments similaires: ",,
9018 31 ,"Seringues, avec ou sans aiguilles: ",,
9018 31 10 ,en matières plastiques ,exemption ,
9018 31 90 ,autres ,exemption ,
9018 32 ,Aiguilles tubulaires en métal et aiguilles à sutures: ,,
9018 32 10 ,Aiguilles tubulaires en métal ,exemption ,
9018 32 90 ,Aiguilles à sutures ,exemption ,
9018 39 00 ,autres ,exemption ,
,"autres instruments et appareils, pour l'art dentaire: ",,
9018 41 00 ,"Tours dentaires, même combinés sur une base commune avec d'autres équipements dentaires ",exemption ,
9018 49 ,autres: ,,
9018 49 10 ,"Meulettes, disques, fraises et brosses, pour tours dentaires ",exemption ,
9018 49 90 ,autres ,exemption ,
9018 50 ,autres instruments et appareils d'ophtalmologie: ,,
9018 50 10 ,non optiques ,exemption ,
9018 50 90 ,optiques ,exemption ,
9018 90 ,autres instruments et appareils: ,,
9018 90 10 ,Instruments et appareils pour la mesure de la pression artérielle ,exemption ,
9018 90 20 ,Endoscopes ,exemption ,
9018 90 30 ,Reins artificiels ,exemption ,

