NC2007 ,Description ,Taux de base ,Catégorie ,Prix d'entrée 
8528 61 00 ,des types exclusivement ou principalement destinés à une machine automatique de trai- tement de l'information du n°8471 ,exemption ,0 ,
8528 69 ,autres: ,,,
8528 69 10 ,"fonctionnant à l'aide d'un écran plat (par exemple, à dispositifs à cristaux liquides), permettant l'affichage d'informations numériques générées par une machine automatique de traitement de l'information ",exemption ,0 ,
,autres: ,,,
8528 69 91 ,en noir et blanc ou en autres monochro- mes ,2 ,0 ,
8528 69 99 ,en couleurs ,14 ,5 ,
,"Appareils récepteurs de télévision, même incorporant un appareil récepteur de radiodif- fusion ou un appareil d'enregistrement ou de reproduction du son ou des images: ",,,
8528 71 ,non conçus pour incorporer un dispositif d'affichage ou un écran vidéo: ,,,
,Récepteurs de signaux vidéophoniques (tuners): ,,,
8528 71 11 ,Assemblages électroniques destines à être incorporés dans une machine auto- matique de traitement de l'information ,exemption ,0 ,
8528 71 13 ,"Appareils à microprocesseurs incorpo- rant un modem d'accès à Internet et assurant une fonction d'échange d'infor- mations interactif, également suscepti- bles de recevoir des signaux de télévi- sion («modules séparés ayant une fonc- tion de communication») ",exemption ,0 ,
8528 71 19 ,autres ,14 ,5 ,
8528 71 90 ,autres ,14 ,5 ,
8528 72 ,"autres, en couleurs: ",,,
8528 72 10 ,Téléprojecteurs ,14 ,5 ,
8528 72 20 ,Appareils incorporant un appareil d'enre- gistrement ou de reproduction vidéophoni- que ,14 ,5 ,
,autres: ,,,
,avec tube-image incorporé: ,,,

