Code NC ,Désignation des marchandises ,Taux du droit conventionnel (%) ,Unité supplémentaire 
1 ,2 ,3 ,4 
8504 40 ,Convertisseurs statiques: ,,
8504 40 60 ,Chargeurs d'accumulateurs autres: ,exemption ,p/st 
8504 40 83 ,Redresseurs ,exemption ,
,Onduleurs: ,,
8504 40 85 ,"d'une puissance n'excédant pas 7,5 kVA ",exemption ,
8504 40 86 ,"d'une puissance excédant 7,5 kVA ",exemption ,
8504 40 95 ,autres ,exemption ,
8504 50 00 ,autres bobines de réactance et autres selfs ,exemption ,
8504 90 ,Parties: ,,
,"de transformateurs, bobines de réactance et selfs: ",,
85049011 ,Noyaux en ferrite ,exemption ,
85049013 ,"Tôles feuilletées et âmes en acier, qu'elles soient ou non enroulées ou empilées ",exemption ,
85049017 ,autres ,exemption ,
8504 90 90 ,de convertisseurs statiques ,exemption ,
8505 ,"Électro-aimants; aimants permanents et articles destinés à devenir des aimants permanents après aimantation; plateaux, mandrins et dispositifs magnétiques ou électromagnétiques similaires de fixation; accouplements, embrayages, variateurs de vitesse et freins électromagnétiques; têtes de levage électromagnétiques: ",,
,Aimants permanents et articles destinés à devenir des aimants permanents après aimantation: ,,
8505 11 ,en métal: ,,
8505 11 10 ,"contenant néodyme, praséodyme, dysprosium ou samarium ","2,2 ",
8505 11 90 ,autres ,"2,2 ",
8505 19 ,autres: ,,
8505 19 10 ,Aimants permanents en ferrite agglomérée ,"2,2 ",
8505 19 90 ,autres ,"2,2 ",
8505 20 00 ,"Accouplements, embrayages, variateurs de vitesse et freins électromagnétiques ","2,2 ",
8505 90 ,"autres, y compris les parties: ",,
,"Électro-aimants; plateaux, mandrins et dispositifs magnétiques ou électromagnétiques similaires de fixation: ",,
8505 90 21 ,"Électro-aimants des types utilisés exclusivement ou principalement pour les appareils de diagnostic par visualisation à résonance magnétique, autres que les électro-aimants de la position 9018 ",exemption ,
8505 90 29 ,autres ,"1,8 ",
8505 90 50 ,Têtes de levage électromagnétiques ,"2,2 ",
8505 90 90 ,Parties ,"1,8 ",

