Code NC ,Désignation des marchandises ,Taux du droit conventionnel (%) ,Unité supplémentaire 
1 ,2 ,3 ,4 
1501 ,"Graisses de porc (y compris le saindoux) et graisses de volailles, autres que celles du n° 0209 ou du n° 1503: ",,
1501 10 ,Saindoux: ,,
1501 10 10 ,destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1) ,exemption ,
1501 10 90 ,autres ,"17,2 €/100 kg/net ",
1501 20 ,autres graisses de porc: ,,
1501 20 10 ,destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1) ,exemption ,
1501 20 90 ,autres ,"17,2 €/100 kg/net ",
1501 90 00 ,autres ,"11,5 ",
1502 ,"Graisses des animaux des espèces bovine, ovine ou caprine, autres que celles du n° 1503: ",,
1502 10 ,Suif: ,,
1502 10 10 ,destiné à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1) ,exemption ,
1502 10 90 ,autres ,"3,2 ",
1502 90 ,autres: ,,
1502 90 10 ,destinées à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1) ,exemption ,
1502 90 90 ,autres ,"3,2 ",
1503 00 ,"Stéarine solaire, huile de saindoux, oléostéarine, oléomargarine et huile de suif, non émulsionnées, ni mélangées ni autrement préparées: ",,
,Stéarine solaire et oléostéarine: ,,
1503 00 11 ,destinées à des usages industriels (1) ,exemption ,
1503 00 19 ,autres ,"5,1 ",
1503 00 30 ,"Huile de suif, destinée à des usages industriels autres que la fabrication de produits pour l'alimentation humaine (1) ",exemption ,
1503 00 90 ,autres ,"6,4 ",
1504 ,"Graisses et huiles et leurs fractions, de poissons ou de mammifères marins, même raffinées, mais non chimiquement modifiées: ",,
1504 10 ,Huiles de foies de poissons et leurs fractions: ,,
1504 10 10 ,d'une teneur en vitamine A égale ou inférieure à 2 500 unités internationales par gramme ,"3,8 ",

