Code NC ,Désignation des marchandises ,Taux du droit conventionnel (%) ,Unité supplémentaire 
1 ,2 ,3 ,4 
8544 49 93 ,pour tensions n'excédant pas 80 V ,"3,7 ",
8544 49 95 ,pour tensions excédant 80 V mais inférieures à 1 000 V ,"3,7 ",
8544 49 99 ,pour une tension de 1 000 V ,"3,7 ",
8544 60 ,"autres conducteurs électriques, pour tensions excédant 1 000 V: ",,
8544 60 10 ,avec conducteur en cuivre ,"3,7 ",
8544 60 90 ,avec autres conducteurs ,"3,7 ",
8544 70 00 ,Câbles de fibres optiques ,exemption ,
8545 ,"Électrodes en charbon, balais en charbon, charbons pour lampes ou pour piles et autres articles en graphite ou en autre carbone, avec ou sans métal, pour usages électriques: ",,
,Électrodes: ,,
8545 11 00 ,des types utilisés pour fours ,"2,7 ",
8545 19 00 ,autres ,"2,7 ",
8545 20 00 ,Balais ,"2,7 ",
8545 90 ,autres: ,,
8545 90 10 ,Résistances chauffantes ,"1,7 ",
8545 90 90 ,autres ,"2,7 ",
8546 ,Isolateurs en toutes matières pour l'électricité: ,,
8546 10 00 ,en verre ,"3,7 ",
8546 20 00 ,en céramique ,"4,7 ",
8546 90 ,autres: ,,
8546 90 10 ,en matières plastiques ,"3,7 ",
8546 90 90 ,autres ,"3,7 ",
8547 ,"Pièces isolantes, entièrement en matières isolantes ou comportant de simples pièces métalliques d'assemblage (douilles à pas de vis, par exemple) noyées dans la masse, pour machines, appareils ou installations électriques, autres que les isolateurs du n° 8546; tubes isolateurs et leurs pièces de raccordement, en métaux communs, isolés intérieurement: ",,
8547 10 00 ,Pièces isolantes en céramique ,"4,7 ",
8547 20 00 ,Pièces isolantes en matières plastiques ,"3,7 ",
8547 90 00 ,autres ,"3,7 ",
8548 00 ,"Parties électriques de machines ou d'appareils, non dénommées ni comprises ailleurs dans le présent chapitre: ",,
8548 00 20 ,"Mémoires sous formes multicombinatoires, telles que, par exemple, les piles (stack) D-RAM et modules ",exemption ,

